# Ensemble Comparison Report (threshold = 0.02)
# Format: SMILES	Classical	Hybrid	Ensemble	(Ensemble - Classical)	(Ensemble - Hybrid)
CCCC(C)Oc1nc(N)c2nc(OC)n(CCCCC3CCCNC3)c2n1	0.9013	0.8687	0.8983	-0.0030	+0.0297
CCC(=O)NCCCCCc1nc2ccccc2n1CCOc1cccc(C)c1	0.9803	0.9727	0.9802	-0.0001	+0.0075
COc1ccccc1-n1ccn2c(SCc3cc(C)ccc3C)nnc2c1=O	0.8915	0.9199	0.9167	+0.0253	-0.0031
Cc1cccc(C(=O)O)[n+]1[O-]	0.6525	0.6514	0.6626	+0.0101	+0.0112
CCCc1cc(C(=O)Nc2c(O)c3cc(OC4OC(C)(C)C(OC)C(O)C4O)cc(C)c3oc2=O)ccc1O	0.8177	0.8653	0.8485	+0.0308	-0.0169
COc1cc(C=O)ccc1OCC(=O)Nc1ccc(Oc2ccccc2Cl)cc1	0.9482	0.9677	0.9684	+0.0202	+0.0006
CCCCN(C)C=C(C#N)C(=O)NC(C)C	0.9316	0.9296	0.9396	+0.0081	+0.0100
O=C(O)CCCCCCCCCC(=O)OC(=O)CCCCCCCCC(=O)O	0.9437	0.9528	0.9548	+0.0111	+0.0020
CCOC(=O)c1cc(CO)c(C)nc1C	0.9282	0.9135	0.9258	-0.0024	+0.0123
Cc1ccc(Cl)cc1C(O)c1c(F)ccc(Br)c1F	0.9226	0.9236	0.9319	+0.0094	+0.0083
CCCc1c(Cl)ncnc1NCCCOc1ccccc1	0.9340	0.9564	0.9524	+0.0184	-0.0040
COc1ccc2nc(NC(=O)c3c(F)c(F)c(F)c(F)c3F)sc2c1	0.8446	0.8667	0.8671	+0.0225	+0.0003
COC(=O)CC(NC(N)=O)(C(=O)O)c1ccccc1	0.8314	0.8124	0.8308	-0.0006	+0.0183
Nc1cc(Oc2cccc(F)c2)ncn1	0.9314	0.9414	0.9474	+0.0160	+0.0061
CCCCCCCCOc1ccc(N=CNc2ccc(OCCCCCCCC)cc2)cc1	0.8745	0.8281	0.8629	-0.0116	+0.0348
O=C(O)CCN(C(=O)C1CCCN1)c1ccccc1	0.9528	0.9027	0.9432	-0.0097	+0.0405
C=C1C(=CC=C2CCCC(C)(C(C)C(C)CCCC(C)(C)O)C2)CC(O)CC1O	0.9280	0.9421	0.9433	+0.0153	+0.0013
Cc1cc(Nc2cc(N3CCNCC3C)nc(Oc3ccc4[nH]c(C)cc4c3Cl)n2)n[nH]1	0.9150	0.9158	0.9225	+0.0075	+0.0067
COC(=O)c1cc(C(C)O)nc2ccccc12	0.9279	0.9523	0.9485	+0.0206	-0.0038
CCC(CO)(CO)[N+](=O)[O-]	0.8323	0.7873	0.8253	-0.0070	+0.0380
C1=CC2Oc3c(c4ccccc4n3-c3cccc(C4Nc5ccccc5O4)c3)-c3ccccc3C2C=C1	0.8795	0.9178	0.9066	+0.0270	-0.0113
COOCC(N)Cc1c(C2Nc3ccccc3C2CC(N)COOC)[nH]c2ccccc12	0.8379	0.9088	0.8853	+0.0474	-0.0235
CC(=O)c1ccc(Oc2ccc(C(=O)c3c(F)cccc3F)cc2)cc1	0.9137	0.9421	0.9332	+0.0195	-0.0089
CC1N=CC(C(=O)O)=C1Br	0.8249	0.8357	0.8463	+0.0213	+0.0106
CCOc1cc(N=Nc2ccncc2)ccc1OCCCCCCCCCC(=O)O	0.9234	0.9122	0.9229	-0.0005	+0.0107
COC1=CC=CCC(=CC=C2C=CC([N+](=O)[O-])=C2)C=C1	0.8920	0.9304	0.9231	+0.0311	-0.0074
CCCCCCCCS(=O)(=O)Cl	0.9567	0.9492	0.9628	+0.0061	+0.0136
Clc1ccc2nc3ccc(Cl)cc3nc2c1	0.8566	0.8538	0.8687	+0.0121	+0.0149
CCc1ccc2c(=O)[nH]cc(C(=O)O)c2c1	0.8110	0.8317	0.8251	+0.0142	-0.0065
CCOC(=O)c1cc(C(=O)OCC)c2ccc(OC(C)=O)ccc1-2	0.8933	0.9127	0.9107	+0.0174	-0.0020
CC1CC(C)C(=O)C(C2CC(O)=NC(=O)C2CCO)C1	0.8847	0.8841	0.8949	+0.0102	+0.0108
COc1ccccc1Br	0.9451	0.9521	0.9642	+0.0191	+0.0121
CCc1nnc2ccc(NCc3cc4cc(Cl)ccc4[nH]c3=O)cn12	0.9414	0.9509	0.9564	+0.0150	+0.0054
COc1ccc(CNC(=O)C(C)OC(=O)c2ccccc2SCc2cc(C)no2)cc1OC	0.9371	0.9210	0.9378	+0.0007	+0.0168
Cc1[nH]c2ccccc2c1C1C(CC(=O)N(CC(=O)NC23CC4CC(CC(C4)C2)C3)Cc2ccccc2)C1(C)C	0.9130	0.9372	0.9297	+0.0167	-0.0075
OC(=Nc1ccccc1N=C(O)c1ccccc1)c1ccccc1	0.9254	0.9333	0.9354	+0.0100	+0.0022
COc1ccc([N+](=O)[O-])c(C)c1	0.9608	0.9671	0.9692	+0.0083	+0.0020
CCCCC(C=CC1=C(C)CCCC1(C)C)=CC=O	0.8866	0.9267	0.9191	+0.0326	-0.0075
O=C(O)CCCCC1SCC2C1NC(=O)N2C(=O)O	0.8220	0.8674	0.8564	+0.0344	-0.0110
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc1)C(=O)C2(C)C	0.9126	0.9254	0.9296	+0.0170	+0.0043
CN(C)c1ncc(C=C2C(=O)NC(=O)N(c3cccc(F)c3)C2=O)cn1	0.9445	0.9254	0.9395	-0.0050	+0.0141
O=C(Cc1n[nH]c(=O)c2ccccc12)NCCC(=O)NC1CCS(=O)(=O)C1	0.9346	0.9183	0.9310	-0.0036	+0.0127
Cn1c(NC(=O)C(c2ccccc2)c2ccccc2)nc2ccccc21	0.8919	0.8837	0.9029	+0.0109	+0.0192
CC(=O)N1CCN(C(=O)c2cccc(CSc3cnc(NC(=O)c4ccc(CNC(C)CO)cc4)s3)c2)CC1	0.9330	0.9305	0.9424	+0.0093	+0.0118
CC(C)(C)NCc1cnc(Sc2ncccc2Cl)nc1	0.8676	0.8734	0.8796	+0.0119	+0.0061
CC1CN2C=NC(N3CCNCC3)=CC2=N1	0.7987	0.7737	0.7941	-0.0046	+0.0204
Fc1cccc(Cl)c1COc1ncnc2ccccc12	0.9357	0.9232	0.9340	-0.0017	+0.0108
CCCCCCCCCCCCCCCNC(=O)C1NC(=O)NC1=O	0.7788	0.8411	0.8189	+0.0401	-0.0223
Cc1cc(C)cc(C(=O)Nc2ccccc2OC(F)(F)C(F)C(F)(F)F)c1	0.9035	0.9344	0.9278	+0.0243	-0.0066
CCN(C(N)=O)C(=S)NC(N)=O	0.7949	0.7685	0.7909	-0.0041	+0.0223
COc1cc(OC)c2c(c1OC)C(=O)C=CC2=O	0.8910	0.8432	0.8802	-0.0108	+0.0370
CCC(C)CN=C1N=C(N)CS1	0.7822	0.7300	0.7679	-0.0143	+0.0379
CCNC(=O)COc1ccc(NC(=O)Nc2cc(-n3cccn3)ccc2C)cc1	0.9612	0.9732	0.9725	+0.0113	-0.0007
Cc1cc2nnc(SC(C)C(=O)Nc3ccc(F)cc3)n2c2ccccc12	0.9438	0.9379	0.9461	+0.0023	+0.0081
SC(=Nc1ccccc1)Nc1ccccc1Cl	0.9172	0.9465	0.9395	+0.0222	-0.0071
CC(NC(=O)Nc1cc2[nH]nc(NC(=O)Oc3ccccc3)c2cn1)c1ccccc1	0.8589	0.8701	0.8733	+0.0145	+0.0032
CCOc1ccc(C(=O)NN=Cc2cc(C)n(C(C)C)c2C)cc1	0.9634	0.9496	0.9623	-0.0011	+0.0126
Cc1ccc(C=CC(=O)Nc2ccc(-c3nc4ncc([N+](=O)[O-])cc4n3O)c(F)c2)cc1	0.9095	0.9195	0.9209	+0.0114	+0.0014
CCOC(=O)c1[nH]c2ccccc2c1Cl	0.9358	0.9134	0.9362	+0.0004	+0.0228
CCc1c(C(=O)Nc2cc(F)cc(F)c2)cnn1-c1ccccn1	0.9450	0.9168	0.9362	-0.0088	+0.0195
Cc1cc(C(C)(C)C)ccc1S	0.9159	0.9173	0.9245	+0.0086	+0.0072
CCCCCCCCCCCCC(=O)c1ccccc1	0.9919	0.9898	0.9935	+0.0016	+0.0037
CCCOc1ccc(C(=O)NN=Cc2cc(Cl)c(OCc3ccccc3F)c(Cl)c2)cc1OC	0.9747	0.9735	0.9767	+0.0020	+0.0032
CC(O)C(C)CO	0.9599	0.9567	0.9656	+0.0058	+0.0090
CCOP(=S)(OCC)OCC	0.8914	0.8007	0.8632	-0.0282	+0.0625
CCSCC1(C)C(=O)NC(=O)N1CC(C)C	0.7088	0.7842	0.7630	+0.0542	-0.0212
CCN(CCC(=O)O)C(=O)NCC(C)C(C)(C)C	0.9645	0.9465	0.9695	+0.0050	+0.0230
N#CC(=Cc1ccc(-c2ccc3cc(N4CCCCC4)ccc3c2)o1)S(=O)(=O)NC1C(O)OC(CO)C(O)C1O	0.8945	0.9406	0.9261	+0.0315	-0.0145
Cc1ccn2c(C(CC(=O)N3CCN(CC=Cc4ccccc4)CC3)c3ccc4c(c3)OCO4)cnc2c1	0.9557	0.9441	0.9562	+0.0005	+0.0121
COc1ccc(C(C)(N)c2cc(OC)cc(OC)c2)cc1	0.9276	0.9260	0.9329	+0.0054	+0.0070
C=CCOc1ccc(C=C2C(=O)N(c3ccc(Cl)c(C(=O)O)c3)N=C2C)cc1OC	0.9751	0.9622	0.9751	+0.0000	+0.0129
CCCCCc1ccc(N=Cc2ccc(OCCCC)cc2)cc1	0.9911	0.9859	0.9907	-0.0004	+0.0048
CCCSP(=S)(OCC)ON=C1N2C=CC(Cl)(Cl)N=C2SC1(C)C	0.7147	0.7500	0.7457	+0.0310	-0.0043
Cc1ccccc1CO	0.9738	0.9640	0.9745	+0.0007	+0.0106
NC1CCCC(N)C1	0.8943	0.8923	0.9018	+0.0075	+0.0095
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3	0.9117	0.9191	0.9325	+0.0208	+0.0134
Cc1nc2cc(C(=O)Nc3cccc(-c4nnc5n4CCCCC5)c3)ccc2n1-c1ccccc1	0.9636	0.9524	0.9623	-0.0013	+0.0099
O=C(O)c1ccc2nc3n(c(=O)c2c1)CCCC3=Cc1cccc(Cl)c1	0.8622	0.9003	0.8892	+0.0270	-0.0111
COc1ccccc1C(C)N(C)C(=O)c1ccc2c(=O)n(C)c(=S)[nH]c2c1	0.9473	0.9420	0.9540	+0.0067	+0.0120
CCOC(=O)N1c2cc(OC)c(OC)cc2C(N(C#N)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1C	0.8973	0.9018	0.9264	+0.0291	+0.0246
C=CC(=O)OC1CCCCC1	0.9404	0.9460	0.9491	+0.0087	+0.0031
CC1=CC(=O)OCC23CCC(CO)=CC2OC2CC(OC(=O)C=CC=CC(C(C)O)OCC1)C3(C)C21CO1	0.9314	0.9540	0.9505	+0.0191	-0.0035
CC(C)c1ccc(CCC(=O)Nc2ccc3ccccc3c2)cc1	0.9669	0.9619	0.9726	+0.0056	+0.0107
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1cccc2ccccc12	0.9404	0.9512	0.9561	+0.0157	+0.0049
Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3nsnc23)cc1Cl	0.9323	0.9361	0.9465	+0.0142	+0.0104
CCOC(=O)c1cccc(-n2c(C)cc(C=C3C(=O)NC(=S)N(c4ccc(F)cc4)C3=O)c2C)c1	0.9736	0.9708	0.9817	+0.0081	+0.0109
N#Cc1cccc(Nc2cncc(C(=O)NCc3ccccc3)c2)c1	0.9480	0.9560	0.9661	+0.0180	+0.0100
COc1ccccc1CCNC(=O)c1ccc(Cn2cnc3ccccc3c2=O)o1	0.9569	0.9639	0.9668	+0.0099	+0.0029
CC(N)=CC=C(C)C(=O)N1CCC(Nc2ncc(C#N)c(-c3c[nH]c4ccccc34)n2)C1	0.8994	0.9229	0.9158	+0.0164	-0.0071
O=C1C=CC(=O)c2nc(-c3ccccc3)c(-c3ccccc3)nc21	0.8412	0.7879	0.8298	-0.0114	+0.0419
OCCc1cccc(C(F)(F)F)c1	0.9674	0.9548	0.9663	-0.0012	+0.0114
CSCC[C@H](N)C(=O)O	0.9852	0.9866	0.9892	+0.0040	+0.0026
COCCOCCOCCOCCO	0.9866	0.9757	0.9856	-0.0010	+0.0098
CC(C)c1cc(C(C)C)c(CCl)c(C(C)C)c1	0.8905	0.8626	0.8878	-0.0027	+0.0252
COc1cc(CCCO)ccc1-c1ccc(CCCO)cc1OC	0.9504	0.9463	0.9564	+0.0059	+0.0101
C1=CCC(C2=C(C3=CC=CC3)C(C3=CCC=C3)C(C3=CC=CC3)=C2C2=CCC=C2)=C1	0.7807	0.8091	0.8103	+0.0296	+0.0013
CC(C)(C)OC(=O)C#CC(=O)OC(C)(C)C	0.7836	0.7946	0.8041	+0.0205	+0.0095
Cc1ccc(C(=O)NN=Cc2ccccc2OCc2ccccc2F)cc1Cl	0.9412	0.9477	0.9501	+0.0089	+0.0023
OCC(CO)(CO)COCC(CO)(CO)CO	0.9086	0.9268	0.9319	+0.0233	+0.0051
Cc1c2c(n(Cc3ccc(F)c(F)c3)c1C(=O)Nc1cccc(F)c1)CCCC2	0.9292	0.9311	0.9389	+0.0098	+0.0078
CCCn1c(CCNC(=O)NC2CCCCC2)nc2ccccc21	0.9519	0.9675	0.9672	+0.0153	-0.0003
CN(C)c1cccc(CN(C)c2ncnc3c2cnn3-c2ccccc2)c1	0.9695	0.9597	0.9703	+0.0008	+0.0106
C=CN1CCCC1=O	0.8637	0.8520	0.8689	+0.0052	+0.0169
Cc1ccc(CN(C)Cc2ccco2)o1	0.9045	0.9215	0.9227	+0.0183	+0.0012
CN(C(=O)CSc1ccc(O)c2ccccc12)C1CC1	0.9061	0.9299	0.9273	+0.0213	-0.0026
C=C(Cl)C(=CC=CC(=O)O)C(CC=O)C1C(OC)=CC(OC)=CC1O	0.9219	0.8950	0.9250	+0.0031	+0.0300
CC(C)CN1CCC2(CC1)CC(N)c1ccccc1O2	0.9239	0.9565	0.9491	+0.0252	-0.0074
COc1cc(Cl)c(C)cc1Nc1nc(C)cc(C(=O)NCc2ccccn2)n1	0.9493	0.9386	0.9504	+0.0012	+0.0119
O=C1OC2(c3ccccc31)c1ccc(O)c(S)c1Oc1c2ccc(O)c1S	0.9425	0.9209	0.9434	+0.0008	+0.0224
CS(C)(=O)=O	0.7869	0.7387	0.8015	+0.0146	+0.0628
COc1cccc(C=CC(=O)Nc2ccccc2NC(=O)c2cccc(OC(C)=O)c2)c1	0.9368	0.9250	0.9387	+0.0019	+0.0137
CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccccc1C	0.9191	0.9588	0.9516	+0.0325	-0.0072
CN(Cc1ccc(Cl)s1)C(=O)CN1CCNCC12CCCCC2	0.8987	0.9182	0.9146	+0.0160	-0.0036
N=C(S)N/N=C/c1cccnc1	0.8965	0.8839	0.8976	+0.0011	+0.0137
O=C1c2ccccc2C(=O)N1CCBr	0.9732	0.9178	0.9610	-0.0122	+0.0432
CCC(=NNc1ccc2ccccc2n1)c1ccc(OC)c(OC)c1	0.9422	0.9250	0.9421	-0.0001	+0.0171
COc1ccc(C(=O)Nc2c(C)nc3cccc(C)n3c2=O)cc1	0.8431	0.8868	0.8755	+0.0324	-0.0113
COC=C(C(=O)OC)c1ccccc1C=Cc1ccccc1	0.8235	0.8970	0.8711	+0.0476	-0.0259
CCCn1ncnc1C(C)NC(=O)N1CC(Oc2ccccc2OC)C1	0.9109	0.9324	0.9333	+0.0224	+0.0009
COC(=O)C1(C)CCC(=O)C(C)=C1C=CC(C)=O	0.9322	0.9507	0.9536	+0.0214	+0.0029
COc1ccc(C=NNC(=O)c2ccc(C)cc2OC)c(OC)c1	0.9452	0.9418	0.9500	+0.0048	+0.0082
CC(C)(C)c1ccccc1S	0.9149	0.9033	0.9155	+0.0006	+0.0121
Cc1cccc(I)n1	0.8280	0.8533	0.8581	+0.0300	+0.0047
Cc1cc(C(N)=S)nc(Oc2ccc(C(N)=O)cc2)n1	0.8811	0.9156	0.9111	+0.0300	-0.0044
Cc1ccccc1N1CC(C(=O)Nc2nnc(COc3ccc(Cl)cc3)s2)CC1=O	0.8493	0.9357	0.8982	+0.0489	-0.0375
Nc1nc(NCCN2CCOCC2)nc(N2CCCCC2)c1[N+](=O)[O-]	0.9035	0.9075	0.9105	+0.0070	+0.0030
CC(C)CCC1CCN(c2ccc(C(=O)N(C)C)nn2)CC1	0.8818	0.8932	0.8920	+0.0102	-0.0012
Cc1ccc(C(=O)C=Cc2ccc(O)c([N+](=O)[O-])c2)cc1C	0.9494	0.9665	0.9668	+0.0174	+0.0003
CN(C)C1CCCCC1	0.9169	0.9367	0.9320	+0.0150	-0.0047
CC#CCOCC1=CC(=O)C(OC)=C(OC)C1=O	0.8097	0.7964	0.8113	+0.0016	+0.0149
CCOC(=O)c1c(C(=O)c2ccccc2)nnn1-c1ccsc1	0.8406	0.8258	0.8550	+0.0144	+0.0292
CCCCCCCC(O)C1=CC(=C(Br)Br)OC1=O	0.7624	0.8373	0.8180	+0.0556	-0.0193
Cc1nn(C)c2ncc(C=C(C#N)C(=O)Nc3ccc(F)c(Cl)c3)cc12	0.9571	0.9611	0.9643	+0.0072	+0.0032
